"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.391,,
"LVA","Latvia","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.377,,
"LVA","Latvia","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.36000001,,
"AUS","Australia","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.54299998,,
"AUS","Australia","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.53600001,,
"AUS","Australia","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.52700001,,
"AUS","Australia","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.54000002,,
"BEL","Belgium","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.50700003,,
"BEL","Belgium","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.509,,
"BEL","Belgium","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.509,,
"BEL","Belgium","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.5,,
"CAN","Canada","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.43599999,,
"CAN","Canada","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.44499999,,
"CAN","Canada","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.45100001,,
"CAN","Canada","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.44100001,,
"CZE","Czech Republic","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.35299999,,
"CZE","Czech Republic","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.36700001,,
"CZE","Czech Republic","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.359,,
"CZE","Czech Republic","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.36399999,,
"FRA","France","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.62099999,,
"FRA","France","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.62,,
"FRA","France","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.63099998,,
"FRA","France","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.62800002,,
"GRC","Greece","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.47600001,,
"GRC","Greece","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.51800001,,
"GRC","Greece","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.43700001,,
"GRC","Greece","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.45199999,,
"HUN","Hungary","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.47400001,,
"HUN","Hungary","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.495,,
"HUN","Hungary","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.53899997,,
"HUN","Hungary","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.53899997,,
"IRL","Ireland","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.47600001,,
"IRL","Ireland","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.477,,
"IRL","Ireland","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.47600001,,
"IRL","Ireland","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.479,,
"JPN","Japan","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.373,,
"JPN","Japan","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.382,,
